IO, 03, 2019092018,   , MIWU, 0, 190N,  714E,  20, 1009, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Hikaa,
IO, 03, 2019092100,   , MIWU, 0, 191N,  708E,  20, 1008, DB,
IO, 03, 2019092106,   , MIWU, 0, 192N,  703E,  20, 1008, DB,
IO, 03, 2019092112,   , MIWU, 0, 193N,  700E,  20, 1008, DB,
IO, 03, 2019092118,   , MIWU, 0, 195N,  696E,  25, 1006, TD,
IO, 03, 2019092200,   , MIWU, 0, 198N,  692E,  30, 1004, TD,
IO, 03, 2019092206,   , MIWU, 0, 201N,  687E,  35, 1002, TS,
IO, 03, 2019092212,   , MIWU, 0, 203N,  679E,  45,  998, TS,
IO, 03, 2019092218,   , MIWU, 0, 203N,  669E,  55,  994, TS,
IO, 03, 2019092300,   , MIWU, 0, 202N,  658E,  65,  990, TY,
IO, 03, 2019092306,   , MIWU, 0, 202N,  646E,  70,  987, TY,
IO, 03, 2019092312,   , MIWU, 0, 203N,  634E,  80,  981, TY,
IO, 03, 2019092318,   , MIWU, 0, 203N,  622E,  90,  974, TY,
IO, 03, 2019092400,   , MIWU, 0, 202N,  610E,  95,  970, TY,
IO, 03, 2019092406,   , MIWU, 0, 200N,  596E,  95,  970, TY,
IO, 03, 2019092412,   , MIWU, 0, 199N,  583E,  85,  976, TY,
IO, 03, 2019092418,   , MIWU, 0, 200N,  571E,  65,  992, TY,
IO, 03, 2019092500,   , MIWU, 0, 198N,  560E,  45, 1001, TS,
IO, 03, 2019092506,   , MIWU, 0, 194N,  549E,  30, 1007, TD,
IO, 03, 2019092512,   , MIWU, 0, 192N,  539E,  25, 1009, TD,
IO, 03, 2019092518,   , MIWU, 0, 190N,  527E,  20, 1011, DB,
IO, 03, 2019092600,   , MIWU, 0, 187N,  517E,  15, 1013, DB,
IO, 03, 2019092606,   , MIWU, 0, 185N,  506E,  15, 1014, DB,
IO, 03, 2019092612,   , MIWU, 0, 183N,  493E,  15, 1014, DB,
